old_date,DAY OF THE WEEK,business_unit,old_revenue,VOLUME,SPEND PER PERSON,date,revenue
02/05/2025,Friday,Juntos farm shop,652.72,31,21.06,2025-05-02,652.72
02/05/2025,Friday,Tasting place,932.50,34,27.43,2025-05-02,932.50
02/05/2025,Friday,Distribution b2b,"2,252.31",13,173.25,2025-05-02,2252.31
02/05/2025,Friday,Activities,0.00,0,0,2025-05-02,0.00
02/05/2025,Friday,Juntos Products,108.10,0,0,2025-05-02,108.10
02/06/2025,Monday,Juntos house,"5,943.60",69,86.14,2025-06-02,5943.60
02/06/2025,Monday,Juntos boutique,31.50,1,31.5,2025-06-02,31.50
02/06/2025,Monday,Picadeli,"5,104.90",248,20.58,2025-06-02,5104.90
02/06/2025,Monday,Juntos farm shop,0.00,0,0,2025-06-02,0.00
02/06/2025,Monday,Tasting place,0.00,0,0,2025-06-02,0.00
02/06/2025,Monday,Distribution b2b,"1,683.75",13,129.52,2025-06-02,1683.75
02/06/2025,Monday,Activities,0.00,0,0,2025-06-02,0.00
02/06/2025,Monday,Juntos Products,0.00,0,0,2025-06-02,0.00
02/07/2025,Wednesday,Juntos house,"8,319.40",99,84.03,2025-07-02,8319.40
02/07/2025,Wednesday,Juntos boutique,588.50,11,53.5,2025-07-02,588.50
02/07/2025,Wednesday,Picadeli,"4,018.30",180,22.32,2025-07-02,4018.30
02/07/2025,Wednesday,Juntos farm shop,951.11,39,24.39,2025-07-02,951.11
02/07/2025,Wednesday,Tasting place,338.00,80,4.23,2025-07-02,338.00
02/07/2025,Wednesday,Distribution b2b,"1,432.00",11,130.18,2025-07-02,1432.00
02/07/2025,Wednesday,Activities,77.00,0,0,2025-07-02,77.00
02/07/2025,Wednesday,Juntos Products,89.10,0,0,2025-07-02,89.10
02/08/2025,Saturday,Juntos house,"10,877.72",112,97.12,2025-08-02,10877.72
02/08/2025,Saturday,Juntos boutique,"2,221.00",24,92.54,2025-08-02,2221.00
02/08/2025,Saturday,Picadeli,"2,799.33",105,26.66,2025-08-02,2799.33
02/08/2025,Saturday,Juntos farm shop,"1,355.61",55,24.65,2025-08-02,1355.61
02/08/2025,Saturday,Tasting place,"3,524.60",150,23.5,2025-08-02,3524.60
02/08/2025,Saturday,Distribution b2b,"2,264.67",14,161.76,2025-08-02,2264.67
02/08/2025,Saturday,Activities,0.00,0,0,2025-08-02,0.00
02/08/2025,Saturday,Juntos Products,0.00,0,0,2025-08-02,0.00
02/09/2025,Tuesday,Juntos house,"3,756.55",51,73.66,2025-09-02,3756.55
02/09/2025,Tuesday,Juntos boutique,177.00,3,59,2025-09-02,177.00
02/09/2025,Tuesday,Picadeli,"2,910.79",154,18.9,2025-09-02,2910.79
02/09/2025,Tuesday,Juntos farm shop,"1,470.49",78,18.85,2025-09-02,1470.49
02/09/2025,Tuesday,Tasting place,"1,411.00",43,32.81,2025-09-02,1411.00
02/09/2025,Tuesday,Distribution b2b,"1,365.14",10,136.51,2025-09-02,1365.14
02/09/2025,Tuesday,Activities,0.00,0,0,2025-09-02,0.00
02/09/2025,Tuesday,Juntos Products,149.61,0,0,2025-09-02,149.61
02/10/2025,Thursday,Juntos house,"6,632.30",82,80.88,2025-10-02,6632.30
02/10/2025,Thursday,Juntos boutique,661.50,7,94.5,2025-10-02,661.50
02/10/2025,Thursday,Picadeli,"3,767.20",193,19.52,2025-10-02,3767.20
02/10/2025,Thursday,Juntos farm shop,612.47,33,18.56,2025-10-02,612.47
02/10/2025,Thursday,Tasting place,948.54,45,21.08,2025-10-02,948.54
02/10/2025,Thursday,Distribution b2b,"1,335.00",12,111.25,2025-10-02,1335.00
02/10/2025,Thursday,Activities,0.00,0,0,2025-10-02,0.00
02/10/2025,Thursday,Juntos Products,43.20,0,0,2025-10-02,43.20
02/11/2025,Sunday,Juntos house,"4,882.00",65,75.11,2025-11-02,4882.00
02/11/2025,Sunday,Juntos boutique,0.00,0,0,2025-11-02,0.00
02/11/2025,Sunday,Picadeli,0.00,0,0,2025-11-02,0.00
02/11/2025,Sunday,Juntos farm shop,0.00,0,0,2025-11-02,0.00
02/11/2025,Sunday,Tasting place,0.00,0,0,2025-11-02,0.00
02/11/2025,Sunday,Distribution b2b,0.00,0,0,2025-11-02,0.00
02/11/2025,Sunday,Activities,0.00,0,0,2025-11-02,0.00
02/11/2025,Sunday,Juntos Products,0.00,0,0,2025-11-02,0.00
02/12/2025,Tuesday,Juntos house,0.00,0,0,2025-12-02,0.00
02/12/2025,Tuesday,Juntos boutique,0.00,0,0,2025-12-02,0.00
02/12/2025,Tuesday,Picadeli,"2,630.00",170,15.47,2025-12-02,2630.00
02/12/2025,Tuesday,Juntos farm shop,405.00,21,19.29,2025-12-02,405.00
02/12/2025,Tuesday,Tasting place,481.00,35,13.74,2025-12-02,481.00
02/12/2025,Tuesday,Distribution b2b,363.00,5,72.6,2025-12-02,363.00
02/12/2025,Tuesday,Activities,0.00,0,0,2025-12-02,0.00
02/12/2025,Tuesday,Juntos Products,175.00,0,0,2025-12-02,175.00
03/01/2025,Friday,Juntos house,"11,992.20",143,83.86,2025-01-03,11992.20
03/01/2025,Friday,Juntos boutique,551.93,9,61.33,2025-01-03,551.93
03/01/2025,Friday,Picadeli,"2,245.56",140,16.04,2025-01-03,2245.56
03/01/2025,Friday,Juntos farm shop,247.35,19,13.02,2025-01-03,247.35
03/01/2025,Friday,Tasting place,216.00,15,14.4,2025-01-03,216.00
03/01/2025,Friday,Distribution b2b,940.57,10,94.06,2025-01-03,940.57
03/01/2025,Friday,Activities,0.00,0,0,2025-01-03,0.00
03/01/2025,Friday,Juntos Products,24.00,0,0,2025-01-03,24.00
03/02/2025,Monday,Juntos house,0.00,0,0,2025-02-03,0.00
03/02/2025,Monday,Juntos boutique,0.00,0,0,2025-02-03,0.00
03/02/2025,Monday,Picadeli,"3,548.79",187,18.98,2025-02-03,3548.79
03/02/2025,Monday,Juntos farm shop,0.00,0,0,2025-02-03,0.00
