DATE,DAY OF THE WEEK,BUISNESS UNIT,REVENUE,VOLUME,SPEND PER PERSON
22/06/2025,Sunday,Picadeli,0.00,0,0.00
22/06/2025,Sunday,Juntos farm shop,0.00,0,0.00
22/06/2025,Sunday,Tasting place,0.00,0,0.00
22/06/2025,Sunday,Distribution b2b,0.00,0,0.00
22/06/2025,Sunday,Activities,0.00,0,0.00
22/06/2025,Sunday,Juntos Products,0.00,0,0.00
23/06/2025,Monday,Juntos house,"6,818.20",82,83.15
23/06/2025,Monday,Juntos boutique,488.00,9,54.22
23/06/2025,Monday,Picadeli,"5,072.13",239,21.22
23/06/2025,Monday,Juntos farm shop,0.00,0,0.00
23/06/2025,Monday,Tasting place,0.00,0,0.00
23/06/2025,Monday,Distribution b2b,"1,741.88",13,133.99
23/06/2025,Monday,Activities,0.00,0,0.00
23/06/2025,Monday,Juntos Products,16.90,0,0.00
24/06/2025,Tuesday,Juntos house,"7,979.30",84,94.99
24/06/2025,Tuesday,Juntos boutique,879.00,6,146.50
24/06/2025,Tuesday,Picadeli,"3,766.45",188,20.03
24/06/2025,Tuesday,Juntos farm shop,"1,669.35",66,25.29
24/06/2025,Tuesday,Tasting place,"1,664.80",52,32.02
24/06/2025,Tuesday,Distribution b2b,"1,787.70",11,162.52
24/06/2025,Tuesday,Activities,0.00,0,0.00
24/06/2025,Tuesday,Juntos Products,236.00,0,0.00
25/06/2025,Wednesday,Juntos house,"8,414.40",98,85.86
25/06/2025,Wednesday,Juntos boutique,778.50,15,51.90
25/06/2025,Wednesday,Picadeli,"4,343.61",210,20.68
25/06/2025,Wednesday,Juntos farm shop,"1,393.65",51,27.33
25/06/2025,Wednesday,Tasting place,429.50,4,107.38
25/06/2025,Wednesday,Distribution b2b,"2,036.78",15,135.79
25/06/2025,Wednesday,Activities,"9,425.00",0,0.00
25/06/2025,Wednesday,Juntos Products,54.00,0,0.00
26/06/2025,Thursday,Juntos house,"8,490.80",96,88.45
26/06/2025,Thursday,Juntos boutique,"2,110.00",15,140.67
26/06/2025,Thursday,Picadeli,"3,829.15",178,21.51
26/06/2025,Thursday,Juntos farm shop,987.25,61,16.18
26/06/2025,Thursday,Tasting place,"1,138.80",65,17.52
26/06/2025,Thursday,Distribution b2b,"1,912.25",15,127.48
26/06/2025,Thursday,Activities,"5,437.50",0,0.00
26/06/2025,Thursday,Juntos Products,112.20,0,0.00
27/06/2025,Friday,Juntos house,"19,733.00",72,274.07
27/06/2025,Friday,Juntos boutique,0.00,0,0.00
27/06/2025,Friday,Picadeli,"3,511.79",178,19.73
27/06/2025,Friday,Juntos farm shop,858.06,38,22.58
27/06/2025,Friday,Tasting place,838.60,13,64.51
27/06/2025,Friday,Distribution b2b,"1,711.49",16,106.97
27/06/2025,Friday,Activities,0.00,0,0.00
27/06/2025,Friday,Juntos Products,0.00,0,0.00
28/06/2025,Saturday,Juntos house,"18,793.00",72,261.01
28/06/2025,Saturday,Juntos boutique,0.00,0,0.00
28/06/2025,Saturday,Picadeli,"3,227.39",122,26.45
28/06/2025,Saturday,Juntos farm shop,"2,009.35",57,35.25
28/06/2025,Saturday,Tasting place,"3,822.20",107,35.72
28/06/2025,Saturday,Distribution b2b,"1,019.64",10,101.96
28/06/2025,Saturday,Activities,0.00,0,0.00
28/06/2025,Saturday,Juntos Products,0.00,0,0.00
29/06/2025,Sunday,Juntos house,"9,718.10",111,87.55
29/06/2025,Sunday,Juntos boutique,"1,511.50",17,88.91
29/06/2025,Sunday,Picadeli,0.00,0,0.00
29/06/2025,Sunday,Juntos farm shop,0.00,0,0.00
29/06/2025,Sunday,Tasting place,0.00,0,0.00
29/06/2025,Sunday,Distribution b2b,0.00,0,0.00
29/06/2025,Sunday,Activities,0.00,0,0.00
29/06/2025,Sunday,Juntos Products,0.00,0,0.00
30/06/2025,Monday,Juntos house,"11,775.01",98,120.15
30/06/2025,Monday,Juntos boutique,"1,247.70",10,124.77
30/06/2025,Monday,Picadeli,"4,507.99",207,21.78
30/06/2025,Monday,Juntos farm shop,0.00,0,0.00
30/06/2025,Monday,Tasting place,0.00,0,0.00
30/06/2025,Monday,Distribution b2b,"2,138.76",15,142.58
30/06/2025,Monday,Activities,0.00,0,0.00
30/06/2025,Monday,Juntos Products,0.00,0,0.00
01/07/2025,Tuesday,Juntos house,"6,080.40",80,76.01
01/07/2025,Tuesday,Juntos boutique,999.50,13,76.88
01/07/2025,Tuesday,Picadeli,"4,144.69",183,22.65
01/07/2025,Tuesday,Juntos farm shop,"1,534.17",53,28.95
01/07/2025,Tuesday,Tasting place,"1,958.00",110,17.80
01/07/2025,Tuesday,Distribution b2b,"2,193.88",13,168.76
01/07/2025,Tuesday,Activities,0.00,0,0.00
01/07/2025,Tuesday,Juntos Products,331.89,0,0.00
02/07/2025,Wednesday,Juntos house,"8,319.40",99,84.03
02/07/2025,Wednesday,Juntos boutique,588.50,11,53.50
02/07/2025,Wednesday,Picadeli,"4,018.30",180,22.32
02/07/2025,Wednesday,Juntos farm shop,951.11,39,24.39
02/07/2025,Wednesday,Tasting place,338.00,80,4.23
02/07/2025,Wednesday,Distribution b2b,"1,432.00",11,130.18
02/07/2025,Wednesday,Activities,77.00,0,0.00
02/07/2025,Wednesday,Juntos Products,89.10,0,0.00
03/07/2025,Thursday,Juntos house,"8,654.52",105,82.42
03/07/2025,Thursday,Juntos boutique,671.00,10,67.10
03/07/2025,Thursday,Picadeli,"3,549.73",180,19.72
03/07/2025,Thursday,Juntos farm shop,"1,464.60",54,27.12
03/07/2025,Thursday,Tasting place,"3,311.50",85,38.96
03/07/2025,Thursday,Distribution b2b,"1,943.35",16,121.46
03/07/2025,Thursday,Activities,"1,893.00",0,0.00
03/07/2025,Thursday,Juntos Products,135.00,0,0.00
04/07/2025,Friday,Juntos house,"10,791.95",113,95.50
04/07/2025,Friday,Juntos boutique,913.60,6,152.27
04/07/2025,Friday,Picadeli,"3,067.54",147,20.87
04/07/2025,Friday,Juntos farm shop,"3,221.46",126,25.57
04/07/2025,Friday,Tasting place,"4,010.00",52,77.12
04/07/2025,Friday,Distribution b2b,"1,753.95",14,125.28
04/07/2025,Friday,Activities,0.00,0,0.00
04/07/2025,Friday,Juntos Products,81.36,0,0.00
05/07/2025,Saturday,Juntos house,"10,092.80",105,96.12
05/07/2025,Saturday,Juntos boutique,"1,858.00",13,142.92
05/07/2025,Saturday,Picadeli,"3,208.26",121,26.51
05/07/2025,Saturday,Juntos farm shop,0.00,0,0.00
05/07/2025,Saturday,Tasting place,"3,039.20",115,26.43
05/07/2025,Saturday,Distribution b2b,"2,439.86",13,187.68
05/07/2025,Saturday,Activities,0.00,0,0.00
05/07/2025,Saturday,Juntos Products,461.04,0,0.00
06/07/2025,Sunday,Juntos house,"8,214.00",97,84.68
06/07/2025,Sunday,Juntos boutique,"2,536.00",18,140.89
06/07/2025,Sunday,Picadeli,0.00,0,0.00
06/07/2025,Sunday,Juntos farm shop,0.00,0,0.00
06/07/2025,Sunday,Tasting place,0.00,0,0.00
06/07/2025,Sunday,Distribution b2b,0.00,0,0.00
06/07/2025,Sunday,Activities,0.00,0,0.00
06/07/2025,Sunday,Juntos Products,0.00,0,0.00
07/07/2025,Monday,Juntos house,"8,016.40",97,82.64
07/07/2025,Monday,Juntos boutique,"1,100.50",16,68.78
07/07/2025,Monday,Picadeli,"4,634.04",195,23.76
07/07/2025,Monday,Juntos farm shop,0.00,0,0.00
07/07/2025,Monday,Tasting place,0.00,0,0.00
07/07/2025,Monday,Distribution b2b,"2,208.77",14,157.77
07/07/2025,Monday,Activities,0.00,0,0.00
07/07/2025,Monday,Juntos Products,0.00,0,0.00
08/07/2025,Tuesday,Juntos house,"9,452.30",107,88.34
08/07/2025,Tuesday,Juntos boutique,"1,160.00",16,72.50
08/07/2025,Tuesday,Picadeli,"4,702.59",208,22.61
08/07/2025,Tuesday,Juntos farm shop,"1,974.63",68,29.04
08/07/2025,Tuesday,Tasting place,"1,896.80",0,0.00
08/07/2025,Tuesday,Distribution b2b,"1,563.46",10,156.35
08/07/2025,Tuesday,Activities,0.00,0,0.00
08/07/2025,Tuesday,Juntos Products,172.74,0,0.00
09/07/2025,Wednesday,Juntos house,"10,566.10",89,118.72
09/07/2025,Wednesday,Juntos boutique,"1,131.00",11,102.82
09/07/2025,Wednesday,Picadeli,"3,344.01",156,21.44
09/07/2025,Wednesday,Juntos farm shop,"1,148.32",54,21.27
09/07/2025,Wednesday,Tasting place,"1,300.00",62,20.97
09/07/2025,Wednesday,Distribution b2b,"1,895.12",11,172.28
09/07/2025,Wednesday,Activities,0.00,0,0.00
09/07/2025,Wednesday,Juntos Products,0.00,0,0.00
10/07/2025,Thursday,Juntos house,"9,231.00",108,85.47
10/07/2025,Thursday,Juntos boutique,"1,123.00",7,160.43
10/07/2025,Thursday,Picadeli,"4,281.69",199,21.52
10/07/2025,Thursday,Juntos farm shop,"1,118.35",38,29.43
10/07/2025,Thursday,Tasting place,"1,375.50",62,22.19
10/07/2025,Thursday,Distribution b2b,"3,272.44",17,192.50
10/07/2025,Thursday,Activities,0.00,0,0.00
10/07/2025,Thursday,Juntos Products,342.28,0,0.00
11/07/2025,Friday,Juntos house,"9,334.30",106,88.06
11/07/2025,Friday,Juntos boutique,632.20,10,63.22
11/07/2025,Friday,Picadeli,"4,204.77",193,21.79
11/07/2025,Friday,Juntos farm shop,"1,271.16",55,23.11
11/07/2025,Friday,Tasting place,274.00,0,0.00
11/07/2025,Friday,Distribution b2b,"2,260.26",17,132.96
11/07/2025,Friday,Activities,0.00,0,0.00
11/07/2025,Friday,Juntos Products,93.74,0,0.00
12/07/2025,Saturday,Juntos house,"9,629.80",100,96.30
12/07/2025,Saturday,Juntos boutique,"1,319.00",20,65.95
12/07/2025,Saturday,Picadeli,"2,943.21",118,24.94
12/07/2025,Saturday,Juntos farm shop,"1,097.96",45,24.40
12/07/2025,Saturday,Tasting place,"3,743.20",0,0.00
12/07/2025,Saturday,Distribution b2b,"2,072.50",10,207.25
12/07/2025,Saturday,Activities,0.00,0,0.00
12/07/2025,Saturday,Juntos Products,78.00,0,0.00
13/07/2025,Sunday,Juntos house,"9,253.10",97,95.39
13/07/2025,Sunday,Juntos boutique,"1,003.65",14,71.69
13/07/2025,Sunday,Picadeli,0.00,0,0.00
13/07/2025,Sunday,Juntos farm shop,0.00,0,0.00
13/07/2025,Sunday,Tasting place,0.00,0,0.00
13/07/2025,Sunday,Distribution b2b,0.00,0,0.00
13/07/2025,Sunday,Activities,0.00,0,0.00
13/07/2025,Sunday,Juntos Products,0.00,0,0.00
14/07/2025,Monday,Juntos house,"9,747.70",99,98.46
14/07/2025,Monday,Juntos boutique,"1,155.00",8,144.38
14/07/2025,Monday,Picadeli,"4,082.35",201,20.31
14/07/2025,Monday,Juntos farm shop,0.00,0,0.00
14/07/2025,Monday,Tasting place,0.00,0,0.00
14/07/2025,Monday,Distribution b2b,"2,429.82",12,202.49
14/07/2025,Monday,Activities,0.00,0,0.00
14/07/2025,Monday,Juntos Products,0.00,0,0.00
15/07/2025,Tuesday,Juntos house,"8,812.20",115,76.63
15/07/2025,Tuesday,Juntos boutique,"1,013.50",11,92.14
15/07/2025,Tuesday,Picadeli,"3,320.96",166,20.01
15/07/2025,Tuesday,Juntos farm shop,"1,953.31",68,28.73
15/07/2025,Tuesday,Tasting place,"1,676.00",81,20.69
15/07/2025,Tuesday,Distribution b2b,"2,731.34",17,160.67
15/07/2025,Tuesday,Activities,0.00,0,0.00
15/07/2025,Tuesday,Juntos Products,233.84,0,0.00
16/07/2025,Wednesday,Juntos house,"10,568.85",112,94.36
16/07/2025,Wednesday,Juntos boutique,852.50,11,77.50
16/07/2025,Wednesday,Picadeli,"3,668.28",156,23.51
16/07/2025,Wednesday,Juntos farm shop,"1,750.47",53,33.03
16/07/2025,Wednesday,Tasting place,"1,388.60",50,27.77
16/07/2025,Wednesday,Distribution b2b,"1,636.27",11,148.75
16/07/2025,Wednesday,Activities,0.00,0,0.00
16/07/2025,Wednesday,Juntos Products,103.80,0,0.00
17/07/2025,Thursday,Juntos house,"9,050.70",111,81.54
17/07/2025,Thursday,Juntos boutique,"1,473.00",16,92.06
17/07/2025,Thursday,Picadeli,"3,619.78",159,22.77
17/07/2025,Thursday,Juntos farm shop,"1,251.23",58,21.57
17/07/2025,Thursday,Tasting place,"1,695.00",57,29.74
17/07/2025,Thursday,Distribution b2b,"2,094.02",16,130.88
