,,,,,,,,,,,dia,BU,
SIN IVA,Año Fecha,Mes Fecha,Fecha,Serie,Área de Negocio,Centro de coste,Uds.,Importe,BU,,,,Total Día
,2024,01  Enero,1/18/2024,AVF,FACTURAS DE VENTA,,0.00,0.00 €,Juntos house,,2/3/2024,Juntos house,4804
,2024,01  Enero,1/19/2024,AT1T,Factura simplificada AT1T,,5.00,406.61 €,Juntos house,,2/4/2024,Juntos house,5075
,2024,01  Enero,1/19/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,257.14 €,Distribution b2b,,2/5/2024,Distribution b2b,354
,2024,01  Enero,1/19/2024,FVA,ALBARANES DE VENTA,,85.60,363.44 €,Distribution b2b,,2/6/2024,Distribution b2b,367
,2024,01  Enero,1/19/2024,AR3G,Tiquet AR3G,,170.50,"2,350.64 €",Juntos house,,2/6/2024,Juntos Products,91
,2024,01  Enero,1/20/2024,AR3G,Tiquet AR3G,,325.50,"4,307.36 €",Juntos house,,2/7/2024,Distribution b2b,1114
,2024,01  Enero,1/20/2024,AT1T,Factura simplificada AT1T,,20.00,514.63 €,Juntos house,,2/7/2024,Juntos Products,35
,2024,01  Enero,1/21/2024,AT1T,Factura simplificada AT1T,,10.00,556.20 €,Juntos house,,2/7/2024,Juntos house,3403
,2024,01  Enero,1/21/2024,AR3G,Tiquet AR3G,,340.50,"4,209.95 €",Juntos house,,2/8/2024,Distribution b2b,737
,2024,01  Enero,1/22/2024,FVA,ALBARANES DE VENTA,,34.40,109.37 €,Distribution b2b,,2/8/2024,Juntos Products,35
,2024,01  Enero,1/23/2024,FVA,ALBARANES DE VENTA,,133.10,441.30 €,Distribution b2b,,2/8/2024,Juntos house,2162
,2024,01  Enero,1/23/2024,AVF,FACTURAS DE VENTA,,1.00,181.82 €,Juntos house,,2/9/2024,Distribution b2b,410
,2024,01  Enero,1/23/2024,JVA,ALBARANES DE VENTA,,3.00,136.86 €,Juntos Products,,2/9/2024,Juntos house,2742
,2024,01  Enero,1/24/2024,AR3G,Tiquet AR3G,,185.00,"2,606.91 €",Juntos house,,2/10/2024,Juntos house,3794
,2024,01  Enero,1/24/2024,FVA,ALBARANES DE VENTA,,48.30,227.91 €,Distribution b2b,,2/11/2024,Juntos house,4386
,2024,01  Enero,1/24/2024,AT1T,Factura simplificada AT1T,,3.00,35.19 €,Juntos house,,2/12/2024,Distribution b2b,4369
,2024,01  Enero,1/24/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,3.00,50.00 €,Distribution b2b,,2/13/2024,Distribution b2b,500
,2024,01  Enero,1/24/2024,AR3I,Invitaciones AR3I,,3.00,0.00 €,Juntos house,,2/13/2024,Juntos Products,35
,2024,01  Enero,1/25/2024,AVF,FACTURAS DE VENTA,,1.00,272.73 €,Juntos house,,2/14/2024,Distribution b2b,588
,2024,01  Enero,1/25/2024,AR3F,Factura AR3F,,49.00,895.00 €,Juntos house,,2/14/2024,Juntos Products,70
,2024,01  Enero,1/25/2024,FVA,ALBARANES DE VENTA,,26.20,125.46 €,Distribution b2b,,2/14/2024,Juntos house,7324
,2024,01  Enero,1/25/2024,AR3G,Tiquet AR3G,,183.00,"2,908.64 €",Juntos house,,2/15/2024,Distribution b2b,413
,2024,01  Enero,1/25/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,10.30,30.47 €,Distribution b2b,,2/15/2024,Juntos Products,40
,2024,01  Enero,1/25/2024,AR3X,Abono tiquet AR3X,,-47.00,-895.00 €,Juntos house,,2/15/2024,Juntos house,3718
,2024,01  Enero,1/25/2024,AT1T,Factura simplificada AT1T,,7.00,245.45 €,Juntos house,,2/16/2024,Distribution b2b,586
,2024,01  Enero,1/25/2024,JVA,ALBARANES DE VENTA,,5.00,79.00 €,Juntos Products,,2/16/2024,Juntos house,3436
,2024,01  Enero,1/26/2024,AR3X,Abono tiquet AR3X,,-11.00,-171.82 €,Juntos house,,2/17/2024,Juntos house,8756
,2024,01  Enero,1/26/2024,AR3G,Tiquet AR3G,,91.00,"1,189.73 €",Juntos house,,2/18/2024,Juntos house,5785
,2024,01  Enero,1/26/2024,FVA,ALBARANES DE VENTA,,119.60,566.28 €,Distribution b2b,,2/19/2024,Distribution b2b,312
,2024,01  Enero,1/26/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,17.50 €,Distribution b2b,,2/20/2024,Distribution b2b,613
,2024,01  Enero,1/26/2024,AR3F,Factura AR3F,,12.00,171.82 €,Juntos house,,2/20/2024,Juntos house,182
,2024,01  Enero,1/26/2024,AT1T,Factura simplificada AT1T,,1.00,33.06 €,Juntos house,,2/21/2024,Distribution b2b,222
,2024,01  Enero,1/27/2024,AR3G,Tiquet AR3G,,346.00,"4,586.55 €",Juntos house,,2/21/2024,Juntos Products,175
